Gene	Mono_A375_1	Mono_A375_2	Mono_A375_3	CC_A375_1	CC_A375_2	CC_A375_3
5S_rRNA	0	0	0	0	0	0
7SK	26.74516349	4.017322611	21.57796802	1.989909042	7.805306611	8.205937351
A1BG	4.952808055	8.034645222	8.827350553	3.979818083	4.878316632	6.154453013
A1BG-AS1	62.40538149	58.25117786	74.54207134	50.74268056	51.71015629	47.18413977
A1CF	0	2.008661306	0	0	0	0
A2M	3251.023207	3220.888404	3293.582573	129.3440877	78.05306611	87.18808435
A2M-AS1	3.962246444	4.017322611	3.923266912	6.964681646	4.878316632	3.077226507
A2ML1	0	1.004330653	1.961633456	0	0	0
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0
A2MP1	1.981123222	0	0	0	0	0
A3GALT2	0	1.004330653	0	0	0	0
A4GALT	145.6125568	162.7015658	173.6045609	122.3794061	120.0065891	132.3207398
A4GNT	0.990561611	0	0	0	2.926989979	1.025742169
AA06	0	0	0	0	0	0
AAAS	825.1378219	845.6464097	759.1521475	905.408614	841.9974506	805.2076026
AACS	1746.36012	1901.197926	1713.486824	987.9898392	834.192144	894.4471712
AACSP1	23.77347866	29.12558893	28.44368511	63.67708933	47.80750299	55.39007712
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0.990561611	0	0	0	0	0
AADACP1	0.990561611	1.004330653	0.980816728	0	0	0
AADAT	218.914116	164.7102271	201.0674293	314.4056286	320.9932344	362.0869856
AAED1	281.3194975	310.3381717	310.9189028	345.2492187	360.9954307	362.0869856
AAGAB	1484.851855	1433.179842	1471.225092	1654.609368	1767.901947	1768.379499
AAK1	192.1689525	165.7145577	189.2976285	175.1119957	208.7919518	226.6890193
AAMDC	53.49032699	44.19054872	68.65717097	41.78808988	53.66148295	55.39007712
AAMP	1457.11613	1452.262124	1412.376088	2107.313675	2243.049987	2182.779335
AANAT	0.990561611	3.012991958	0.980816728	2.984863563	1.951326653	3.077226507
AAR2	1361.031653	1291.56922	1195.615592	1242.698197	1190.309258	1286.28068
AARD	76.27324404	67.29015374	75.52288806	67.65690742	45.85617634	46.1583976
AARS	16165.96549	15312.02513	15396.861	14758.16041	15452.55576	16494.95982
AARS2	334.8098245	358.5460431	409.9813923	403.9515355	427.3405369	445.1721013
AARSD1	5.943369666	9.038975875	15.69306765	27.85872658	26.34290981	16.4118747
AARSP1	0	0	0	0	0	0
AASDH	386.3190283	388.6759626	459.0222287	428.8253985	407.8272704	359.0097591
AASDHPPT	1105.466758	1003.326322	948.4497761	1386.966602	1396.17422	1398.086576
AASS	463.5828339	453.9574551	409.9813923	253.7134028	252.6968015	306.6969085
AATBC	5.943369666	11.04763718	9.808167281	7.959636167	6.829643284	10.25742169
AATK	165.423789	139.6019607	144.180059	42.7830444	33.17255309	26.66929639
AATK-AS1	0	0	0	0	0.975663326	0
AB015752	0	0	0	0.994954521	0.975663326	0
AB019438	0.990561611	3.012991958	1.961633456	2.984863563	0.975663326	2.051484338
AB019440	0	0	0	0	0	0
AB019441	11.88673933	13.05629849	16.67388438	11.93945425	16.58627655	12.30890603
ABAT	81.2260521	68.29448439	71.59962115	25.86881754	19.51326653	23.59206988
ABC12-47043100G14	0	0	0	0	0	0
ABCA1	51.50920377	44.19054872	31.3861353	189.041359	170.7410821	244.1266362
ABCA10	1156.975962	1037.473564	1218.174376	1782.958501	1734.729394	1938.652699
ABCA11P	6.933931276	8.034645222	5.884900369	14.92431781	18.5376032	13.3346482
ABCA12	15.84898577	14.06062914	4.90408364	28.8536811	44.88051301	56.41581929
ABCA13	42.59414927	54.23385525	28.44368511	19.89909042	15.61061322	15.38613253
ABCA17P	9.905616109	15.06495979	4.90408364	9.949545208	12.68362324	8.205937351
ABCA2	1769.143037	1697.318803	1721.333358	1119.323836	1012.738533	995.995646
ABCA3	291.2251136	292.26022	282.4752177	276.5973568	260.5021081	253.3583157
ABCA4	1.981123222	0	0	0	0	4.102968675
ABCA5	262.4988269	252.0869939	265.8013333	121.3844515	137.568529	141.5524193
ABCA6	68.34875115	64.27716178	69.63798769	226.8496308	117.0795992	102.5742169
ABCA7	216.9329928	203.8791225	181.4510947	167.1523595	151.2278156	141.5524193
ABCA8	17.830109	18.07795175	26.48205166	41.78808988	28.29423646	32.8237494
ABCA9	0	1.004330653	1.961633456	8.954590688	1.951326653	4.102968675
ABCA9-AS1	0	0	0	0	0	0
ABCB1	194.1500757	200.8661306	180.470278	90.5408614	94.63934265	98.47124821
ABCB10	808.2982745	824.555466	786.6150159	803.9232528	833.2164807	827.7739303
ABCB10P3	0	0	0.980816728	0	0	0
ABCB10P4	0	0	0	0.994954521	0	0
ABCB11	0	0	0	0	0	0
